年纪,语文,数学,英语,物理,化学,生物,历史,综合,等级
高三,79,74,70,82,73,68,77,74.0,丙
高二,58,93,85,57,88,77,57,77.0,丙
高二,89,82,87,99,99,88,85,88.0,乙
高三,100,76,52,81,90,54,66,76.0,丙
高一,98,100,58,50,72,61,53,61.0,丙
高一,84,83,90,53,53,65,70,70.0,丙
高一,59,93,68,74,56,59,95,68.0,丙
高三,100,96,73,85,99,78,87,87.0,乙
高二,90,71,62,79,73,63,85,73.0,丙
高一,50,58,66,65,77,82,89,66.0,丙
高二,62,55,97,85,92,84,67,84.0,丙
高二,64,60,89,100,85,66,74,74.0,丙
高一,99,95,96,63,91,52,70,91.0,甲
高二,53,94,93,76,96,74,71,76.0,丙
高一,54,68,83,85,74,54,71,71.0,丙
高一,54,85,97,92,89,92,55,89.0,乙
高三,71,94,64,82,86,56,94,82.0,丙
高三,63,73,74,70,75,87,54,73.0,丙
高三,68,51,60,67,96,94,90,68.0,丙
高三,51,73,94,65,71,52,83,71.0,丙
高一,88,73,62,93,94,74,87,87.0,乙
高三,70,87,64,89,87,78,56,78.0,丙
高二,55,71,50,53,62,100,50,55.0,丁
高二,55,61,83,50,64,87,81,64.0,丙
高一,73,93,67,54,78,54,75,73.0,丙
高一,65,89,80,79,54,50,85,79.0,丙
高二,78,85,50,74,95,52,87,78.0,丙
高二,58,66,65,79,51,99,75,66.0,丙
高二,76,95,90,95,81,91,65,90.0,甲
高一,96,85,57,81,92,77,71,81.0,丙
高三,65,81,85,52,73,53,62,65.0,丙
高二,54,80,60,75,60,61,99,61.0,丙
高一,81,74,67,77,99,89,92,81.0,丙
高三,64,88,59,70,84,56,54,64.0,丙
高二,68,51,58,94,71,79,96,71.0,丙
高二,61,91,51,60,96,65,92,65.0,丙
高一,77,61,55,56,84,89,95,77.0,丙
高三,88,91,62,90,89,96,85,89.0,乙
高三,84,96,55,53,62,90,79,79.0,丙
高二,69,81,100,98,92,72,67,81.0,丙
高二,70,60,93,90,69,86,77,77.0,丙
高二,53,84,73,100,97,98,56,84.0,丙
高一,54,52,84,87,54,51,69,54.0,丁
高一,97,97,94,53,73,55,80,80.0,丙
高一,73,54,99,71,94,89,71,73.0,丙
高一,90,66,82,72,50,95,56,72.0,丙
高三,86,75,92,95,93,76,59,86.0,乙
高一,63,92,88,95,71,51,66,71.0,丙
高二,74,95,99,53,57,66,55,66.0,丙
高一,82,84,99,54,91,53,100,84.0,丙
高二,93,69,61,97,82,91,74,82.0,丙
高三,62,63,81,96,72,85,88,81.0,丙
高一,79,53,94,60,95,67,97,79.0,丙
高二,91,87,82,66,80,56,51,80.0,丙
高二,64,89,70,73,54,96,83,73.0,丙
高一,80,58,99,50,69,88,89,80.0,丙
高一,79,53,68,81,97,90,59,79.0,丙
高三,68,65,53,80,56,64,61,64.0,丙
高二,86,64,74,83,60,85,74,74.0,丙
高二,66,81,54,55,74,74,52,66.0,丙
高一,87,60,98,57,100,62,86,86.0,乙
高二,81,92,94,71,53,77,86,81.0,丙
高一,69,77,96,65,55,88,69,69.0,丙
高二,66,83,90,81,54,70,53,70.0,丙
高一,56,87,64,81,73,67,90,73.0,丙
高一,75,65,76,63,67,72,85,72.0,丙
高二,87,55,77,54,54,67,50,55.0,丁
高三,89,51,75,92,78,58,93,78.0,丙
高三,65,62,69,100,93,72,53,69.0,丙
高二,61,84,80,63,73,56,77,73.0,丙
高二,93,92,80,60,88,76,64,80.0,丙
高三,90,93,99,94,72,73,51,90.0,甲
高三,62,98,91,57,89,60,59,62.0,丙
高三,65,65,72,74,60,96,96,72.0,丙
高三,68,68,63,84,70,54,91,68.0,丙
高二,64,65,99,80,56,68,72,68.0,丙
高二,73,63,93,79,69,94,66,73.0,丙
高一,81,58,83,78,89,53,66,78.0,丙
高一,56,92,99,100,57,96,59,92.0,甲
高二,67,82,61,100,95,72,100,82.0,丙
高三,50,50,96,52,82,89,59,59.0,丁
高一,74,66,90,95,70,53,97,74.0,丙
高三,72,76,78,91,99,96,79,79.0,丙
高三,62,98,50,71,88,72,72,72.0,丙
高三,63,68,77,75,61,88,90,75.0,丙
高一,73,89,77,98,92,93,79,89.0,乙
高二,71,90,62,81,72,51,83,72.0,丙
高三,60,71,61,63,84,60,59,61.0,丙
高一,71,54,71,91,64,68,94,71.0,丙
高三,85,63,77,99,63,73,71,73.0,丙
高二,87,52,64,88,74,85,54,74.0,丙
高二,82,69,63,61,58,99,76,69.0,丙
高二,76,93,64,62,92,90,62,76.0,丙
高一,66,59,72,78,84,76,85,76.0,丙
高三,80,90,63,67,94,79,93,80.0,丙
高二,75,55,82,65,65,80,68,68.0,丙
高一,66,97,67,66,58,99,55,66.0,丙
高三,65,64,84,69,58,99,60,65.0,丙
高一,64,66,72,83,53,61,87,66.0,丙
高二,80,62,53,56,54,83,77,62.0,丙
高一,66,78,79,66,98,87,97,79.0,丙
高一,62,52,81,55,53,88,86,62.0,丙
高一,81,91,75,89,84,93,66,84.0,丙
高一,92,73,76,51,62,74,96,74.0,丙
高一,67,60,97,86,92,68,54,68.0,丙
高三,81,50,80,99,76,65,61,76.0,丙
高三,54,54,92,81,82,71,74,74.0,丙
高三,92,56,67,87,78,100,76,78.0,丙
高三,95,81,80,83,54,57,56,80.0,丙
高一,76,57,89,51,75,82,91,76.0,丙
高一,73,79,72,94,78,94,82,79.0,丙
高三,80,61,87,59,79,72,89,79.0,丙
高一,67,85,65,51,50,68,70,67.0,丙
高二,100,63,73,66,58,54,82,66.0,丙
高一,90,68,66,66,86,94,81,81.0,丙
高二,64,99,94,52,74,76,97,76.0,丙
高二,65,85,98,99,100,61,84,85.0,乙
高一,88,100,61,68,52,55,73,68.0,丙
高二,74,94,93,61,74,73,56,74.0,丙
高一,67,92,78,77,93,56,59,77.0,丙
高二,83,83,88,96,54,85,98,85.0,乙
高三,75,75,91,69,93,93,80,80.0,丙
高三,51,53,79,60,90,64,93,64.0,丙
高一,87,92,90,57,78,94,96,90.0,甲
高三,98,100,83,76,89,55,96,89.0,乙
高一,73,57,56,89,71,86,77,73.0,丙
高二,55,51,98,99,96,74,53,74.0,丙
高二,91,58,92,68,96,64,81,81.0,丙
高三,68,79,99,78,54,54,77,77.0,丙
高三,70,97,69,58,86,57,65,69.0,丙
高一,95,93,67,88,96,79,92,92.0,甲
高二,51,88,87,65,63,83,81,81.0,丙
高二,87,64,88,80,51,57,67,67.0,丙
高三,69,80,90,87,80,84,55,80.0,丙
